"Name","test_mse.mean","State","Created","Runtime","latent_encoder_depth","latent_encoder_width","poly_degree","pre_processor_layers","ring_emb_dim","num_ensemble","num_steps","test_68_ci.mean","test_95_ci.mean","test_99_ci.mean","test_median.mean","train_68_ci.mean","train_95_ci.mean","train_99_ci.mean","train_median.mean","train_mse.mean","test_rmse_in_newtons"
"clear-snowball-60","0.9179364984685724","finished","2025-02-07T00:23:35.000Z","286","2","8","1","[16,5]","12","32","10000","0.8668310290033167","1.9007065512917256","2.316430167718367","0.5594819323583082","0.26460477845235303","1.0582150708545337","1.896554946899414","0.16253088143738834","0.47326742789962073","4.261584436919813"
"fancy-sun-46","0.9693218794735996","finished","2025-02-06T23:52:58.000Z","269","2","8","1","[8,8]","24","32","10000","0.8237200487743724","2.059524254365401","2.6235476515509863","0.5289624360474673","0.35729948769916187","1.3115323890339246","2.307884617285295","0.22827142747965729","0.58690544962883","4.379240398300697"
"crimson-night-71","1.029723129489205","finished","2025-02-07T00:50:34.000Z","289","2","16","1","[16,5]","3","32","10000","1.013456935232336","2.0183415846391157","2.4734787940979004","0.6774604428898204","0.19534101675857196","0.5648268000646071","0.9269846894524314","0.1284565519202839","0.27030951326543634","4.513620201002472"
"wild-firebrand-57","1.2339731427756222","finished","2025-02-07T00:18:10.000Z","232","2","32","1","","3","32","10000","1.2853278030048718","2.3706759918819773","2.76213340325789","0.7900676510550759","0.16086400503462012","0.49840334870598535","0.7638968554410067","0.1037422012199055","0.2309253446080468","4.941031610277901"
"easy-disco-147","0.9091486145149578","finished","2025-02-07T04:06:53.000Z","367","4","64","1","","24","32","10000","0.8092256811532107","1.923514274033633","2.3453844027085737","0.5084259076551958","0.4049405320124193","1.0587245442650537","1.6792772574858232","0.2625643787058917","0.5038210505788977","4.241136195666032"
"rosy-wood-105","0.9348994358019396","finished","2025-02-07T02:14:30.000Z","387","3","64","1","[16,5]","24","32","10000","0.8863341970877214","1.8983135494318877","2.2871063514189287","0.5702948367053812","0.279611889611591","0.7264023098078641","1.222198871049014","0.18189255080439828","0.3528622185642069","4.300779999849839"
"hopeful-wood-127","0.9242311932823876","finished","2025-02-07T03:14:00.000Z","301","4","32","1","","24","32","10000","0.817888308655132","1.9250671700997783","2.3428365967490454","0.5314855169166218","0.29543915120038117","0.946120565587824","1.6003860993818804","0.18231491473588077","0.4317744292996146","4.276171253195881"
"smooth-water-137","1.0826092877171256","finished","2025-02-07T03:39:37.000Z","316","4","16","1","[8,8]","3","32","10000","0.9762352894652974","2.2691490650177","2.681849707256664","0.6120989214290272","0.4529619000174782","1.1470282023603269","1.8387737707658247","0.28719093853777106","0.5524189878593792","4.628077819692985"
"usual-snowflake-133","0.9715269560163672","finished","2025-02-07T03:29:36.000Z","332","4","16","1","[16,5]","24","32","10000","0.9041165546937422","1.9704537987709043","2.3606537743048235","0.5962837717749856","0.2967496622692455","0.789080641486428","1.34380473873832","0.19075892730192703","0.3808430622924458","4.3842186593285755"
"silver-sunset-21","1.2957744164900349","finished","2025-02-06T23:01:39.000Z","196","1","8","1","","3","32","10000","1.1237241950902073","2.6964376839724453","3.605133620175448","0.6753495877439325","0.5803445252505216","2.0439220775257456","3.981234832243486","0.3730179450728677","0.9640741835940968","5.063251255964695"
